"???","???????","??????????","?????????????","???????","????????","???????????","???????°æ??????","???????¢¨?","????????????","????????¢¨?","???????","???????????","???????????","????????","?????????","??????????","?????????????","????????????","???•Ë???????","???•Ë????????","??????","????????????","????????????","?????????????","???°æ??¨⁄?","???????(x)","???????(y)","????????????","??????????¨⁄?","???????¨⁄?","??????","???????","???????????","????????","????î≥??","????????","????????","?????","????????","?????????","??????????","?????????","???????","????????","???????","?®˘???","????????","?????????????•Ô?","???????","???????????","????????","?????????","???????????","?????????","?????????","????????????????","?????????????????","?????","???????????","????????????","?•‰???????","??????",
"1","????????","03_11_02_P","4340000","CDFI3261092005000001","2005-08-29","","02","???","02","???","","2019-04-04","2021-12-31","","","","219-832","?????? ?????? ?ﬁ√?? ????? 601-1","?????? ?????? ?ﬁ√?? ????????? 511","","??????????","2021-01-23 11:36:09","U","2021-01-26 02:40:00","","336820.049138758","527182.508125494","????????","???????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","????????","03_11_02_P","4340000","CDFI3261092007000001","2007-01-09","","02","???","02","???","","2019-04-04","2021-12-31","","033-636-4773","","219-832","?????? ?????? ?ﬁ√?? ????? 601-4","?????? ?????? ?ﬁ√?? ????????? 511","24766","??????????????","2021-01-23 11:36:26","U","2021-01-26 02:40:00","","336847.223237238","527293.573937252","????????","???????","","","","","","??????","","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"3","????????","03_11_02_P","4340000","CDFI3261092008000001","2008-11-19","","02","???","02","???","","","","","033-632-6363","","219-832","?????? ?????? ?ﬁ√?? ???? 632-1","?????? ?????? ?ﬁ√?? ???1?? 31","24766","???•Á•·????","2021-03-31 20:15:45","U","2021-04-02 02:40:00","","334426.047240457","526627.868791419","????????","???????","????????","2","???","","","??????","2","","","","","","","","","","","","","721.35","","","","","","","","","","","","","721",
"4","????????","03_11_02_P","4340000","CDFI3261092015000001","2015-02-11","","02","???","02","???","","2015-11-11","2016-11-09","","033-632-5156","","219-823","?????? ?????? ???? ???????? 81-25????","?????? ?????? ???? ??????? 78","24752","???????????","2017-09-12 09:10:21","I","2018-08-31 23:59:59","","335102.636154902","534339.746668797","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","????????","03_11_02_P","4400000","CDFI3261092009000006","2009-07-07","","02","???","02","???","","2013-10-14","2014-10-14","","","","390-832","?????? ????? ???? ???? 227-6????","?????? ????? ???? ?????44?? 29-1","390-832","?°¿•Ë?????????(?? ??)","2013-11-10 09:49:58","I","2018-08-31 23:59:59","","304245.829329442","391415.466726972","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","147.24","","","","","","","","","35000000","","","","147",
"6","????????","03_11_02_P","5050000","CDFI3261092014000006","2014-11-19","","03","???","03","???","2017-09-08","","","","","","780-430","????? ????? ???","????? ????? ???1?? 45-7 (???)","38126","?????? ???","2017-09-08 16:09:44","I","2018-08-31 23:59:59","","408712.264714274","257334.489940356","????????","","???????????","2","","","","","2","","","","","","","","","","","","","125.86","","","","","","","","","","","","","126",
"7","????????","03_11_02_P","5050000","CDFI3261092014000007","2014-11-19","","03","???","03","???","2017-09-07","","","","","","780-460","????? ????? ?°¿???","????? ????? ????? 86-57 (?°¿???)","38200","??? ???","2017-09-08 09:15:43","I","2018-08-31 23:59:59","","406748.435237288","255098.479660854","????????","","????????????","2","","","","???????","2","","","","","","","","","","","","","217.44","","","","","","","","","","","","","217",
"8","????????","03_11_02_P","5050000","CDFI3261092017000001","2017-09-05","","03","???","03","???","2018-08-02","","","","","","","????? ????? ??? 656-39????","????? ????? ????? 126-55 (???)","38126","????? ???","2018-08-02 17:36:32","I","2018-08-31 23:59:59","","409426.234255223","257513.538255172","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","????????","03_11_02_P","5050000","CDFI3261092017000002","2017-09-05","","03","???","03","???","2018-08-02","","","","","","","????? ????? ??? 656-9????","????? ????? ????? 126-57 (???)","38126","????? ??","2018-08-02 17:36:54","I","2018-08-31 23:59:59","","409411.494187329","257512.464963865","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","????????","03_11_02_P","4510000","CDFI3261092015000013","2015-07-01","","03","???","03","???","2022-11-24","","","","","","355-944","??????? ????? ???¯™ 2303-6","??????? ????? ????2?? 16-18 (???¯™)","33488","????????????","2022-11-25 15:12:42","U","2022-11-27 02:40:00","","156522.26188877","312458.679294919","????????","","????????","3","???","","","??????","3","","","","Daecheon sea voyage Pension","Tourism Pension","","","","","","","","379.17","","","","","","","","","","","","","379",
"11","????????","03_11_02_P","4510000","CDFI3261092016000001","2016-06-29","","03","???","03","???","2017-09-12","","","","","","","??????? ????? ???¯™ 2228-1????","??????? ????? ???? 150-1 (???¯™)","33488","????????????","2017-09-13 13:03:56","I","2018-08-31 23:59:59","","155904.109744919","313084.160653551","????????","","","2","","","","","2","","","","Daecheon relax pension","Tourisim Pension","","","","","","","","","","","","","","","","","100000000","","","","",
